15.128113, 14.466149, -0.214070
17.377236, 13.972794, -0.182970
19.271089, 14.152947, -0.202381
20.666813, 14.444915, -0.318311
21.245528, 14.606035, -0.491367
21.786769, 15.087431, -0.420700
22.394252, 15.615573, -0.535598
-3.683682, 19.527884, 0.539704
-4.602746, 16.136333, 0.570185
1.688948, 3.981932, -0.151555
2.010232, 4.831161, -0.440727
1.946308, 4.789864, -0.467192
1.658288, 4.603651, -0.337629
1.390621, 4.007892, 0.101246
1.092178, 3.589936, 0.841170
0.782749, 3.244658, 0.981099
0.252422, 3.440535, 0.836389
2.249588, 6.890899, 0.839458
1.511058, 6.551028, 0.916810
-0.323907, 4.361419, 0.557280
-1.777162, 4.171026, 0.592888
-4.110045, 3.679033, 0.290957
-6.565118, 3.063176, 0.227975
-8.620498, 3.138932, 0.191401
-10.663992, 3.881986, 0.154269
-11.203011, 3.703355, 0.067687
-11.469795, 3.255502, 0.095031
-7.794088, 2.689813, -0.107409
-7.685519, 2.332444, -0.133041
-6.851225, 2.976446, -0.389813
-5.575700, 2.796772, -0.405681
-4.147369, 2.536816, -0.452941
-2.269196, 1.866052, -0.424724
-1.139469, 1.378538, -0.455770
-1.409282, 1.631473, -0.528425
-2.632017, 2.386151, -0.635177
-3.937210, 3.597930, -0.720253
-2.159005, 4.759296, -0.359210
-0.855855, 6.473652, -0.572648
1.478055, 7.893881, -0.568432
1.980775, 9.378408, -0.709381
2.163074, 10.773386, -0.789051
2.287615, 11.986109, -0.796905
1.985809, 12.606372, -0.722690
1.602823, 12.690550, -0.770629
1.386170, 12.957243, -0.883469
1.383460, 13.626653, -0.970939
4.982911, 9.203408, -0.025398
4.802875, 8.822863, -0.135910
3.524280, 7.794422, -0.147612
2.818646, 6.433984, -0.102076
1.825998, 4.474187, -0.060309
0.790527, 3.285702, -0.039080
-0.307179, 3.500656, -0.079228
-2.595586, 4.343056, -0.194415
-5.851526, 3.283623, -0.095015
-6.862570, 3.729715, -0.110461
-7.340189, 5.008303, 0.113446
-7.661613, 5.518058, 0.080998
-6.888041, 4.360512, 0.166226
-6.572380, 4.283394, 0.087183
-6.053669, 4.708643, 0.114823
-4.928225, 4.738521, 0.151047
-3.203580, 3.751679, 0.139064
-3.044847, 3.638655, 0.186473
-3.575294, 4.021926, 0.235993
-4.542643, 4.982555, 0.157613
-7.555642, 4.673909, 0.157678
-7.873390, 5.349911, 0.161513
-7.658167, 4.803883, 0.054135
-7.486208, 4.576257, 0.027902
-7.192087, 4.444293, 0.040479
-6.371525, 4.237885, 0.057816
-4.633398, 3.406569, 0.013796
-3.672915, 2.638592, 0.115522
-4.124514, 1.001311, 0.133150
-4.472667, -2.115228, 0.118786
-4.811361, -5.585653, -0.117342
-4.730230, -7.062459, 0.088261
-3.665048, -8.050636, 0.079569
-4.026145, -8.144706, -0.125872
-4.281218, -8.133746, -0.048566
-4.428567, -8.017692, -0.074120
-4.464261, -7.754274, -0.064307
-4.398266, -7.793278, -0.047198
-4.484175, -8.050916, -0.011811
-4.785729, -8.124793, -0.068553
-4.331246, -8.311826, -0.065732
-4.293920, -8.365921, -0.141026
-4.232233, -7.947646, -0.032029
-3.739901, -6.968326, -0.091979
-3.295907, -5.449138, -0.065064
-2.140033, -3.630366, -0.058671
-1.099357, -3.465782, -0.100544
0.445662, -4.781277, -0.165780
4.193546, -5.000064, -0.116885
5.826140, -4.323495, -0.208499
7.278131, -5.118385, -0.073865
7.958232, -5.258156, -0.085862
8.082895, -3.633057, -0.116250
7.530933, -3.507568, -0.120584
